,field,symbol,pre
3,2019/1/4,AAPL,0.70159435
216,2019/1/4,KHC,0.6901537
357,2019/1/4,TXT,0.689842
327,2019/1/4,SLB,0.684493
100,2019/1/4,DAL,0.6815712
395,2019/1/4,XRX,0.6813461
88,2019/1/4,COTY,0.6801379
151,2019/1/4,FLS,0.679198
123,2019/1/4,EFX,0.67867386
228,2019/1/4,LH,0.6783237
637,2019/1/11,M,0.66141546
402,2019/1/11,AAPL,0.64490914
758,2019/1/11,UAL,0.6369394
734,2019/1/11,STZ,0.62702984
646,2019/1/11,MDT,0.62242985
635,2019/1/11,LW,0.61758393
488,2019/1/11,CPB,0.6145188
756,2019/1/11,TXT,0.6138535
583,2019/1/11,HSIC,0.6135433
450,2019/1/11,BKNG,0.61334777
1053,2019/1/18,MO,0.6543512
1036,2019/1/18,M,0.62688875
832,2019/1/18,APD,0.6215053
944,2019/1/18,FE,0.6201092
1133,2019/1/18,STZ,0.61562526
1078,2019/1/18,NVR,0.6152954
858,2019/1/18,CAG,0.61282915
896,2019/1/18,CVS,0.6081546
1171,2019/1/18,VNO,0.6026896
922,2019/1/18,EIX,0.59784234
1452,2019/1/25,MO,0.6772906
1435,2019/1/25,M,0.6586446
1231,2019/1/25,APD,0.63505375
1257,2019/1/25,CAG,0.63345313
1297,2019/1/25,DAL,0.62851894
1507,2019/1/25,QCOM,0.6252734
1429,2019/1/25,LOW,0.6159549
1364,2019/1/25,GPS,0.6126286
1214,2019/1/25,ALB,0.61121345
1383,2019/1/25,HSY,0.6028671
1905,2019/2/1,QCOM,0.64342576
1827,2019/2/1,LOW,0.6120871
1656,2019/2/1,CAG,0.60704696
1733,2019/2/1,EXPD,0.60696816
1664,2019/2/1,CE,0.60175985
1833,2019/2/1,M,0.59635216
1691,2019/2/1,CTL,0.5936154
1621,2019/2/1,AMG,0.5935932
1743,2019/2/1,FFIV,0.59175223
1779,2019/2/1,HSIC,0.59139156
2204,2019/2/8,JWN,0.62393445
2301,2019/2/8,QCOM,0.61049676
2368,2019/2/8,WAB,0.6091406
2087,2019/2/8,CTL,0.6058359
2012,2019/2/8,ALK,0.6041337
2063,2019/2/8,CHD,0.60240626
2062,2019/2/8,CF,0.6016321
2211,2019/2/8,KMX,0.6008442
2054,2019/2/8,CBOE,0.60073817
2032,2019/2/8,ATVI,0.5965209
2547,2019/2/15,GE,0.62198615
2534,2019/2/15,FE,0.62119275
2555,2019/2/15,GPS,0.61566895
