name,count
SPY,5562
QQQ,4744
DIA,4092
TLT,1261
UUP,1053
AAPL,1048
TBT,1031
GLD,983
USO,809
FXE,706
TSLA,672
AMZN,660
OIL,657
IAU,622
TMV,510
EUO,421
SLV,409
FB,408
GE,380
FXI,364
EEM,362
UWT,351
BA,332
ABBV,332
UNG,314
VNQ,298
VGK,296
T,284
MU,282
UGAZ,268
UDN,266
DGAZ,263
IWM,256
VOO,252
IYR,247
YINN,246
PHYS,243
BABA,238
NFLX,217
VWO,213
AMD,206
VT,197
XHB,196
MSFT,192
GDX,189
YANG,189
ACB,187
GOOG,179
NVDA,177
BTC-USD,177
CGC,169
SH,161
BAC,161
F,161
XLI,153
ACWI,150
GOOGL,149
INTC,149
XLE,148
IBM,148
JNJ,148
AGG,144
FXB,140
HEDJ,138
MO,136
VIS,134
FIDU,133
HYG,132
DIS,132
JNK,129
GM,127
CVX,124
APHA,124
AGNC,123
VXX,123
CSCO,123
GILD,119
UCO,118
XOM,118
BRK.B,117
GLRE,116
CELG,115
FEZ,115
TIP,115
KMI,114
GLQ,114
CAT,112
ADBE,111
SBUX,111
AMGN,109
CHK,108
XLF,105
ENB,105
FXY,105
XLK,104
HVRRF,103
EWZ,103
DXJ,102
JPM,102
EWJ,101
BP,101
HVRRY,100
BRK.A,100
O,99
EWU,98
XLY,98
HD,97
TUR,97
ADM,96
EWC,96
BMY,95
C,95
ET,95
KO,94
WMT,93
PM,92
AAL,90
IEMG,89
AVGO,88
CMCSA,88
PG,87
EPD,87
PEP,86
TWTR,85
MNKD,84
XLU,84
AMAT,84
JD,83
AGN,83
AMLP,82
GIS,81
PFE,81
EADSF,81
GOLD,80
KHC,80
CVS,79
TLRY,79
CBL,78
SNAP,77
MMM,77
TCEHY,76
BLK,76
AMZA,76
IEF,75
ABT,75
AFL,74
GSG,74
WFC,74
VZ,73
V,73
FXC,73
BOIL,73
D,73
AMRN,72
IVV,72
RDS.A,70
RIG,70
SHLDQ,70
ATVI,70
KIM,70
OHI,68
NKE,67
ESV,67
TGT,67
BND,67
FDX,66
BBY,66
EWI,66
DBC,66
EFA,66
MRK,66
BB,66
BIDU,65
CTL,65
COP,65
USDU,65
BPY,64
MCD,64
BNS,64
LMT,64
VTI,63
APLE,63
GBB,63
QCOM,63
EPI,63
UNIT,63
BUD,63
